Item,N.P. ID#,Model #,Internet #,URL,Price per Unit,,,,,,,,
Dementional Lumber,,,,,,,,,,,Take off Calculations,,
4x8x14 PT,00093,,,,,,,,,,,,
4x8x16 PT,00094,,,,,,,,,,,,
4x8x20 PT,00095,,,,,,,,,,,,
4x10x8,00096,,,,,,,,,,,,
4x10x10,00097,,,,,,,,,,,,
4x10x12,00098,,,,,,,,,,,,
4x10x14,00099,,,,,,,,,,,,
4x10x16,00100,,,,,,,,,,,,
4X10X20,00101,,,,,,,,,,,,
4x10x8 PT,00102,,,,,,,,,,,,
4x10x10 PT,00103,,,,,,,,,,,,
4x10x12 PT,00104,,,,,,,,,,,,
4x10x14 PT,00105,,,,,,,,,,,,
4x10x16 PT,00106,,,,,,,,,,,,
4X10X20 PT,00107,,,,,,,,,,,,
4x12x8,00108,,,,,,,,,,,,
4x12x10,00109,,,,,,,,,,,,
4x12x12,00110,,,,,,,,,,,,
4x12x14,00111,,,,,,,,,,,,
4x12x16,00112,,,,,,,,,,,,
4x12x20,00113,,,,,,,,,,,,
4x12x8 PT,00114,,,,,,,,,,,,
4x12x10 PT,00115,,,,,,,,,,,,
4x12x12 PT,00116,,,,,,,,,,,,
4x12x14 PT,00117,,,,,,,,,,,,
4x12x16 PT,00118,,,,,,,,,,,,
4x12x20 PT,00119,,,,,,,,,,,,
6x6x8,00120,,,,,,,,,,,,
6x6x10,00121,,,,,,,,,,,,
6x6x12,00122,,,,,,,,,,,,
6x6x14,00123,,,,,,,,,,,,
6x6x16,00124,,,,,,,,,,,,
6x6x20,00125,,,,,,,,,,,,
6x6x8 PT,00126,,,,,,,,,,,,
6x6x10 PT,00127,,,,,,,,,,,,
6x6x12 PT,00128,,,,,,,,,,,,
6x6x14 PT,00129,,,,,,,,,,,,
6x6x16 PT,00130,,,,,,,,,,,,
6x6x20 PT,00131,,,,,,,,,,,,
6x8x8,00132,,,,,,,,,,,,
6x8x10,00133,,,,,,,,,,,,
6x8x12,00134,,,,,,,,,,,,
6x8x14,00135,,,,,,,,,,,,
6x8x16,00136,,,,,,,,,,,,
6x8x20,00137,,,,,,,,,,,,
6x8x8 PT,00138,,,,,,,,,,,,
6x8x10 PT,00139,,,,,,,,,,,,
6x8x12 PT,00140,,,,,,,,,,,,
6x8x14 PT,00141,,,,,,,,,,,,
6x8x16 PT,00142,,,,,,,,,,,,
6x8x20 PT,00143,,,,,,,,,,,,
6x10x8,00144,,,,,,,,,,,,
6x10x10,00145,,,,,,,,,,,,
6x10x12,00146,,,,,,,,,,,,
6x10x14,00147,,,,,,,,,,,,
6x10x16,00148,,,,,,,,,,,,
6x10x20,00149,,,,,,,,,,,,
6x10x8 PT,00150,,,,,,,,,,,,
6x10x10 PT,00151,,,,,,,,,,,,
6x10x12 PT,00152,,,,,,,,,,,,
6x10x14 PT,00153,,,,,,,,,,,,
6x10x16 PT,00154,,,,,,,,,,,,
6x10x20 PT,00155,,,,,,,,,,,,
6X12X8,00156,,,,,,,,,,,,
6X12X10,00157,,,,,,,,,,,,
6X12X12,00158,,,,,,,,,,,,
6X12X14,00159,,,,,,,,,,,,
6X12X16,00160,,,,,,,,,,,,
6X12X20,00161,,,,,,,,,,,,
6X12X8 PT,00162,,,,,,,,,,,,
6X12X10 PT,00163,,,,,,,,,,,,
6X12X12 PT,00164,,,,,,,,,,,,
6X12X14 PT,00165,,,,,,,,,,,,
6X12X16 PT,00166,,,,,,,,,,,,
6X12X20 PT,00167,,,,,,,,,,,,
1/4'' Plywood,00168,,,,,,,,,,,,
